code,state,points,hint
AL,Alabama,0,"Known as the ""Yellowhammer state"""
AK,Alaska,0,"Known nicknamed the ""The Last Frontier"""
AZ,Arizona,0,"Known as the ""Grand Canyon state"""
AR,Arkansas,0,"Known as the ""Natural state"""
CA,California,0,"Known as the ""Golden state"""
CO,Colorado,0,"Known as the ""Centennial state"""
CT,Connecticut,0,"Known as the ""Constitution state"""
DE,Delaware,0,"Known as the ""First state"""
FL,Florida,0,"Known as the ""Sunshine state"""
GA,Georgia,0,"Known as the ""Peach state"""
HI,Hawaii,0,"Known as the ""Aloha state"""
ID,Idaho,0,"Known as the ""Gem state"""
IL,Illinois,0,"Known as the ""Prairie state"""
IN,Indiana,0,"Known as the ""Hoosier state"""
IA,Iowa,0,"Known as the ""Hawkeye state"""
KS,Kansas,0,"Known as the ""Sunflower state"""
KY,Kentucky,0,"Known as the ""Bluegrass state"""
LA,Louisiana,0,"Known as the ""Pelican state"""
ME,Maine,0,"Known as the ""Pine Tree state"""
MD,Maryland,0,"Known as the ""Old Line state"""
MA,Massachusetts,0,"Known as the ""Bay state"""
MI,Michigan,0,"Known as the ""Great Lakes state"""
MN,Minnesota,0,"Known as the ""North Star state"""
MS,Mississippi,0,"Known as the ""Magnolia state"""
MO,Missouri,0,"Known as the ""Show Me state"""
MT,Montana,0,"Known as the ""Treasure state"""
NE,Nebraska,0,"Known as the ""Cornhusker state"""
NV,Nevada,0,"Known as the ""Silver state"""
NH,New Hampshire,0,"Known as the ""Granite state"""
NJ,New Jersey,0,"Known as the ""Garden state"""
NM,New Mexico,0,"Known as ""Land of Enchantment"""
NY,New York,0,"Known as the ""Empire state"""
NC,North Carolina,0,"Known as the ""Tar Heel state"""
ND,North Dakota,0,"Known as the ""Peace Garden state"""
OH,Ohio,0,"Known as the ""Buckeye state"""
OK,Oklahoma,0,"Known as the ""Sooner state"""
OR,Oregon,0,"Known as the ""Beaver state"""
PA,Pennsylvania,0,"Known as the ""Keystone state"""
RI,Rhode Island,0,"Known as the ""Ocean state"""
SC,South Carolina,0,"Known as the ""Palmetto state"""
SD,South Dakota,0,"Known as the ""Mount Rushmore state"""
TN,Tennessee,0,"Known as the ""Volunteer state"""
TX,Texas,0,"Known as the ""Lone Star state"""
UT,Utah,0,"Known as the ""Beehive state"""
VT,Vermont,0,"Known as the ""Green Mountain state"""
VA,Virginia,0,"Known as the ""Old Dominion state"""
WA,Washington,0,"Known as the ""Evergreen state"""
WV,West Virginia,0,"Known as the ""Mountain state"""
WI,Wisconsin,0,"Known as the ""Badger state"""
WY,Wyoming,0,"Known as the ""Cowboy state"""
